SA4_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,132,794,4616,23691,28552,3225,629,832,62464,13,610,1967,1813,223,15,12,163,4809,0,62,161,403,106,16,0,15,767,13,666,2129,2218,323,31,13,175,5577,8,163,306,149,14,0,5,20,670,0,10,64,26,0,0,0,0,104,0,4,26,6,0,0,0,0,30,0,0,10,20,0,0,0,0,32,3,14,10,7,9,0,0,0,51,9,188,421,212,25,4,5,25,891,85,316,246,71,51,4,4,58,831,6,22,39,37,34,9,20,34,200,244,1991,7458,26230,28985,3269,669,1124,69965
502,47,404,2412,11544,18314,1922,339,463,35441,7,406,1588,1538,72,9,8,114,3736,3,46,313,639,61,7,0,8,1085,8,448,1902,2180,141,19,8,127,4824,0,103,213,91,0,0,0,19,431,0,5,56,119,12,4,0,0,189,0,7,66,115,0,0,0,8,197,0,0,48,103,0,0,0,0,155,0,6,22,3,7,0,0,0,39,0,120,407,442,19,3,0,21,1017,33,196,118,21,9,0,0,37,415,0,5,16,11,8,0,0,6,45,86,1175,4845,14199,18479,1940,351,663,41734
503,20,267,3671,13450,12797,3883,704,200,34991,14,379,1846,1826,319,33,9,49,4461,16,471,2080,3534,569,44,9,44,6767,26,845,3924,5361,887,74,16,87,11231,27,1205,2766,470,30,0,10,56,4566,167,2384,3586,786,37,3,4,100,7067,164,2839,4388,1102,41,4,3,94,8624,123,1456,3461,919,29,0,7,71,6071,0,12,9,7,8,0,0,0,37,481,7897,14209,3279,144,11,25,322,26364,0,17,40,12,12,0,0,0,77,3,21,21,16,7,0,4,15,95,533,9052,21864,22128,13840,3968,755,624,72762
504,90,541,4553,33022,39307,5125,968,922,84526,9,669,2784,4341,460,29,9,169,8471,5,270,1228,1294,195,13,3,48,3066,13,938,4016,5638,658,45,16,223,11539,8,320,1169,367,6,0,0,30,1897,3,191,676,61,0,0,0,20,949,3,224,299,11,0,0,0,11,548,0,153,141,25,0,0,0,8,325,3,30,39,11,15,3,4,3,109,16,915,2321,477,23,5,9,58,3826,33,102,87,17,7,4,0,12,269,4,9,16,37,27,8,6,22,117,152,2510,10991,39191,40021,5185,999,1234,100273
505,84,646,5298,58118,86098,12254,1800,1580,165877,24,1642,9023,17037,1170,92,26,503,29523,14,419,1875,4079,1149,99,18,91,7752,37,2065,10899,21115,2322,190,45,594,37275,52,984,2980,583,20,0,4,110,4725,4,308,842,199,12,0,0,29,1384,4,279,696,282,0,0,0,26,1284,0,30,42,78,6,0,0,0,159,0,54,67,21,25,10,8,9,194,50,1658,4626,1153,61,15,13,171,7746,29,124,119,34,21,0,0,26,360,4,16,21,47,12,0,0,28,128,214,4501,20962,80466,88518,12462,1865,2400,211386
506,119,992,7225,58477,71077,10029,2002,1734,151648,50,1472,5647,10099,1092,98,72,353,18880,24,585,2238,3747,717,91,64,114,7577,81,2059,7883,13848,1807,186,136,472,26458,12,815,1765,1130,146,16,11,82,3975,14,644,1467,276,0,0,0,30,2426,12,835,1067,366,14,0,3,24,2326,0,426,1132,410,26,3,3,7,2009,6,58,70,35,21,11,10,6,213,45,2773,5501,2211,204,34,29,159,10952,57,207,266,114,44,16,6,41,753,5,34,55,53,48,12,3,34,239,299,6065,20926,74697,73177,10271,2179,2444,190049
507,93,774,5711,44958,69762,8856,1447,1369,132967,17,1023,5556,6535,804,82,19,243,14277,16,377,1355,2278,552,72,10,59,4727,35,1397,6918,8808,1357,153,35,302,19004,15,672,1985,489,38,3,6,82,3302,8,495,1436,360,8,0,0,29,2344,46,798,1705,527,32,0,0,39,3143,0,136,376,65,0,0,0,10,584,8,41,60,41,34,13,4,3,213,82,2144,5568,1475,121,19,15,169,9581,50,239,280,53,20,7,0,12,666,5,23,37,40,49,7,3,30,195,265,4577,18512,55332,71303,9039,1498,1884,162413
509,141,1022,5856,20883,15470,2605,741,805,47530,10,449,972,496,110,18,6,92,2147,5,24,55,37,22,0,0,5,144,15,470,1028,536,130,16,10,95,2297,0,60,54,26,13,0,4,0,154,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,12,7,3,0,0,4,34,0,61,65,28,23,3,6,0,192,63,188,159,89,33,8,8,55,602,8,33,46,73,46,12,8,17,248,230,1779,7154,21611,15702,2643,775,976,50866
510,60,497,1702,9073,6500,656,120,410,19013,27,354,956,795,147,8,0,78,2374,9,92,221,283,69,0,0,12,689,36,454,1175,1078,213,11,0,89,3064,11,164,339,129,7,0,9,19,677,0,51,95,23,0,0,0,3,173,0,37,55,25,0,0,0,3,114,0,61,65,5,0,0,0,0,137,0,0,3,0,0,0,0,0,9,14,312,553,188,7,0,11,25,1107,140,345,108,90,66,20,12,111,883,31,102,61,51,40,13,20,58,374,273,1705,3604,10475,6824,709,159,694,24437
511,71,604,2869,15272,13031,1731,383,626,34576,16,483,1620,1165,98,9,6,110,3509,3,23,191,263,155,35,5,15,685,19,508,1815,1428,248,39,13,126,4191,0,242,239,95,8,0,0,42,647,0,4,14,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,19,4,252,260,104,8,0,5,42,681,156,442,132,116,86,12,11,53,1009,11,76,67,81,58,19,26,38,382,263,1884,5145,17001,13433,1798,431,887,40843
597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
601,133,1286,12934,43358,17501,3909,848,872,80846,36,875,1760,402,69,12,4,84,3240,10,293,1370,675,119,27,5,32,2530,42,1168,3129,1076,192,36,12,115,5768,90,1672,3140,738,131,29,14,137,5960,49,325,510,115,22,7,3,16,1030,16,124,372,68,3,0,0,14,593,0,0,22,6,0,0,0,0,31,0,64,36,24,18,5,0,0,147,152,2180,4079,946,175,43,13,169,7759,44,125,98,75,29,3,0,16,396,8,38,63,40,27,0,10,18,205,386,4798,20306,45506,17911,3995,886,1189,94980
602,165,1092,8312,28448,11050,2119,493,759,52432,12,644,1688,365,45,10,10,219,2986,0,63,317,408,148,43,11,8,1003,16,707,2000,778,198,57,14,225,3989,21,771,1912,328,42,10,3,77,3160,0,25,69,6,4,0,0,3,112,7,13,10,0,0,0,0,0,31,0,0,6,9,0,0,0,0,9,0,45,41,21,7,0,0,0,118,27,852,2036,357,54,17,4,77,3431,41,113,89,62,24,9,5,53,385,8,22,26,22,16,3,6,9,123,249,2783,12464,29668,11337,2202,529,1121,60352
603,145,739,3132,7744,2874,593,209,246,15674,9,40,102,23,9,0,0,6,183,0,0,5,4,4,0,0,0,13,9,46,102,24,7,0,0,7,195,11,19,32,8,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,11,26,36,8,0,4,0,0,84,31,75,37,31,6,0,3,8,196,7,9,10,12,6,0,5,4,59,195,893,3323,7821,2897,603,215,261,16209
604,79,747,6348,24939,8253,1352,302,588,42613,14,827,1782,288,22,8,0,120,3057,5,44,269,55,3,6,3,7,388,25,868,2056,334,27,13,5,124,3447,7,52,95,27,4,5,0,8,193,17,21,5,0,0,0,0,0,43,0,12,19,11,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,0,0,18,21,89,122,47,6,5,0,9,302,47,170,79,62,4,4,0,48,410,6,16,19,34,9,4,3,8,103,181,1888,8619,25418,8310,1372,315,778,46876
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
701,130,598,1661,14462,9954,2102,570,462,29937,13,341,1486,785,52,3,0,71,2755,9,98,1201,734,107,4,6,33,2187,19,444,2687,1524,154,4,0,108,4950,18,499,2262,1031,102,8,4,106,4037,45,293,1178,361,5,0,0,43,1919,14,308,1838,1005,24,0,6,49,3253,38,461,1071,935,44,5,0,31,2592,0,13,3,0,0,0,0,0,27,122,1581,6356,3334,174,11,12,228,11824,98,199,34,35,21,4,3,44,429,9,51,37,10,10,3,0,30,151,384,2874,10770,19364,10318,2130,589,873,47297
702,109,712,2382,9353,3550,585,198,383,17274,36,676,1540,571,78,4,3,89,2998,8,139,606,224,13,0,0,28,1019,50,816,2147,795,85,10,3,118,4016,52,305,300,71,3,3,4,29,765,3,14,9,0,0,0,0,3,24,0,4,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,5,12,53,323,322,71,8,5,4,31,821,187,297,82,60,35,3,5,75,745,50,151,109,78,38,10,14,71,511,443,2298,5043,10358,3709,613,225,677,23364
797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,67,807,4037,43261,45726,9966,1717,851,106433,33,841,4913,7029,726,55,18,147,13757,34,1140,4264,7882,1618,102,22,107,15164,67,1975,9176,14913,2347,154,38,256,28921,58,1487,2727,1136,141,8,5,75,5628,69,2476,4147,894,82,0,0,75,7745,68,4731,6144,1528,68,4,0,94,12642,49,2439,2961,675,21,0,0,56,6206,14,165,162,65,17,7,0,3,442,262,11301,16139,4292,339,24,10,306,32669,5,56,75,24,3,0,0,4,168,6,52,54,44,33,6,5,9,213,415,14185,29482,62527,48442,10147,1778,1429,168400
897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
901,0,75,260,546,266,51,14,50,1259,0,3,43,37,3,4,0,3,95,0,0,4,6,0,0,0,0,14,0,7,49,40,3,4,0,3,106,0,32,29,14,0,0,0,3,78,0,0,13,25,3,0,0,0,51,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,12,0,42,49,42,7,0,0,5,141,0,0,0,3,0,0,0,0,5,0,8,5,5,0,0,0,7,23,4,130,354,640,275,59,17,65,1533
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
