SED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED10045,252,997,3545,11792,6968,1407,349,443,25745,17,165,819,321,39,8,0,32,1393,7,58,257,210,14,10,3,10,579,19,225,1083,534,54,16,5,42,1974,34,238,715,181,34,8,3,39,1254,0,17,94,12,0,0,0,0,129,0,0,11,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,16,27,25,8,6,0,0,91,35,275,860,219,47,8,3,43,1485,86,196,78,39,15,0,7,20,437,13,22,31,24,14,0,3,7,114,409,1715,5582,12601,7097,1433,368,553,29756
SED10046,31,147,667,6674,8054,1710,344,333,17953,10,58,154,384,25,4,0,20,657,3,137,310,858,346,16,3,30,1708,15,197,470,1238,372,18,10,51,2371,107,281,669,188,3,0,3,64,1319,43,249,3099,278,10,0,5,113,3792,5,139,823,426,9,0,0,26,1432,71,438,1705,358,6,0,4,33,2610,0,17,101,63,34,7,0,5,228,227,1117,6396,1315,63,9,8,246,9390,0,0,5,6,0,0,0,0,18,4,9,34,12,3,4,0,4,76,277,1473,7579,9242,8496,1740,365,636,29809
SED10047,43,334,1853,13132,12006,2812,613,537,31328,10,114,498,589,145,16,5,24,1407,8,108,302,1866,626,46,7,53,3022,22,221,800,2458,774,55,19,74,4429,27,198,340,68,9,0,0,26,660,10,45,446,39,0,0,0,20,564,9,53,460,118,0,0,0,9,653,0,0,0,0,0,0,0,0,0,0,24,107,49,29,12,5,6,236,40,321,1351,280,39,8,9,62,2110,0,9,20,13,9,0,3,0,48,3,4,10,20,21,4,0,4,69,106,890,4034,15896,12837,2883,642,674,37977
SED10048,32,200,1113,11216,11440,2801,600,356,27756,3,59,1180,1185,128,8,7,43,2623,6,100,1010,1469,432,47,5,53,3121,11,163,2191,2656,549,54,17,98,5743,3,27,137,110,3,3,0,6,293,0,0,35,23,0,0,0,0,58,0,4,269,103,20,0,0,5,404,0,83,123,11,3,0,0,0,222,3,30,114,44,22,19,11,9,249,7,146,683,282,52,18,14,20,1222,0,4,4,0,0,0,0,0,11,0,6,18,10,15,7,3,6,68,50,526,4012,14167,12054,2881,627,483,34808
SED10049,23,150,1725,10858,13181,1958,336,261,28499,4,188,1290,854,128,6,3,49,2516,0,146,281,139,47,8,4,9,627,4,332,1563,987,173,9,10,56,3138,12,248,311,49,4,0,0,27,651,0,0,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,4,7,35,11,9,3,0,0,71,15,267,361,60,17,3,0,28,752,12,60,99,26,3,3,0,9,214,3,11,3,17,11,3,0,5,52,55,819,3763,11946,13390,1978,346,355,32648
SED10050,14,150,904,3955,4987,2235,455,70,12780,63,73,209,350,146,13,0,9,864,5,122,438,1128,277,47,9,9,2033,63,199,649,1481,419,58,12,24,2897,51,587,1569,649,81,17,7,27,2985,21,1239,4737,865,63,6,5,66,6999,90,1021,2031,668,27,5,3,32,3867,16,280,650,429,5,0,0,14,1391,8,29,41,22,20,8,3,0,132,184,3153,9015,2628,194,36,19,148,15372,0,32,60,21,7,3,0,0,129,8,15,16,7,0,0,0,5,45,270,3547,10641,8092,5607,2327,488,242,31225
SED10051,23,84,777,4254,3949,1558,438,99,11179,45,133,848,918,179,36,5,29,2198,6,255,627,2218,962,130,21,44,4266,58,391,1475,3135,1137,164,27,82,6466,142,582,791,467,40,9,3,63,2101,24,712,3105,782,21,0,0,89,4745,59,1426,3224,940,30,0,6,81,5766,19,435,1058,293,20,0,0,24,1847,7,14,30,13,12,0,0,3,82,247,3178,8213,2495,121,12,14,253,14537,0,46,65,32,12,0,5,0,164,5,10,25,4,8,4,0,5,53,335,3710,10555,9926,5228,1734,481,433,32397
SED10052,14,109,718,5724,7245,2415,440,126,16798,26,101,295,600,172,22,4,22,1240,5,264,827,2130,411,66,6,47,3759,28,358,1125,2730,590,93,16,67,5005,3,258,416,225,12,0,0,19,930,5,226,1806,362,0,0,0,19,2419,23,626,1984,412,5,0,0,33,3081,20,84,316,74,3,0,0,3,505,0,10,25,15,9,11,0,0,74,51,1202,4544,1085,33,11,5,76,7006,7,39,55,13,8,0,3,7,134,5,4,12,6,0,0,0,4,40,108,1718,6453,9571,7875,2518,461,281,28982
SED10053,90,472,1995,8833,9450,2306,644,273,24069,0,154,962,681,66,3,3,19,1889,0,133,774,737,70,5,8,28,1755,0,283,1731,1418,136,5,8,49,3638,30,565,647,200,32,3,7,32,1525,13,152,396,45,8,0,0,5,610,0,219,664,40,0,0,0,15,944,0,17,58,3,0,0,0,0,77,0,10,16,18,4,0,3,0,48,45,958,1778,307,48,4,13,52,3213,10,41,25,23,8,7,7,3,120,5,23,30,11,11,4,5,8,105,155,1779,5569,10594,9655,2330,680,391,31143
SED10054,25,166,883,11055,7170,1824,428,361,21916,8,33,210,842,76,12,3,23,1206,5,63,233,1391,637,26,4,44,2400,9,93,446,2230,712,34,8,68,3603,0,56,39,36,3,0,0,3,139,0,30,208,17,0,0,0,7,267,9,80,956,94,5,0,0,32,1173,0,0,0,0,0,0,0,0,0,3,11,108,42,20,10,5,6,211,12,177,1308,189,33,10,7,55,1793,0,0,7,18,4,0,0,0,24,0,4,16,10,9,3,0,0,33,46,446,2654,13500,7923,1874,445,489,27373
SED10055,22,122,468,7140,12652,3332,749,258,24751,0,11,27,161,37,7,0,6,242,0,27,23,554,184,14,6,7,813,0,36,48,713,218,23,6,12,1052,4,14,69,9,0,0,0,0,89,0,3,52,27,0,0,0,0,88,0,6,21,7,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,10,37,19,21,3,3,0,103,4,40,173,65,28,3,3,0,319,4,15,4,0,6,0,0,0,34,0,8,7,9,16,6,0,5,54,31,220,707,7929,12913,3368,766,278,26213
SED10056,50,361,2738,12743,9096,1423,301,571,27296,3,198,964,314,29,7,0,50,1578,0,30,33,35,4,3,0,6,107,9,229,1000,352,35,8,0,54,1682,3,203,858,272,16,4,0,53,1415,0,6,18,3,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,3,0,0,0,13,3,209,880,277,18,4,0,53,1456,20,87,80,59,26,5,7,40,322,3,16,49,50,40,14,7,33,212,87,907,4747,13476,9218,1456,319,756,30972
SED10057,93,431,2764,11732,7454,1362,329,471,24641,10,212,1275,1045,48,4,0,60,2646,0,49,174,162,25,0,0,5,418,10,257,1446,1203,69,5,0,62,3058,30,383,981,201,14,4,0,59,1673,8,56,306,60,0,0,0,11,443,0,20,272,67,5,0,0,5,371,0,3,32,41,0,0,0,0,75,3,4,10,0,0,0,0,0,21,34,469,1591,376,22,6,6,80,2581,31,148,174,45,6,4,4,88,496,0,19,23,23,4,0,0,30,104,173,1324,6006,13376,7555,1373,336,730,30876
SED10058,35,297,3979,9338,4491,916,186,169,19403,13,309,1005,550,60,9,5,32,1982,17,376,1428,1880,306,64,17,48,4137,27,691,2442,2428,365,70,26,76,6118,97,887,1008,215,33,4,3,41,2289,22,361,1238,222,6,4,3,45,1907,53,401,929,446,24,0,8,20,1873,24,415,634,274,23,0,0,10,1386,0,34,45,16,6,0,0,4,109,198,2108,3848,1168,91,13,11,121,7563,12,60,67,30,8,3,0,7,193,10,32,13,24,4,0,4,11,95,276,3185,10361,12983,4961,998,222,384,33375
SED10059,22,116,443,1193,706,163,46,29,2714,23,350,2232,1911,393,52,11,32,5007,97,403,2224,3158,1466,272,90,77,7786,120,757,4458,5065,1862,318,104,104,12790,244,1038,978,217,56,6,10,37,2587,359,1571,2118,266,36,0,7,66,4421,515,2817,2599,651,33,0,0,91,6716,653,2116,1747,179,8,0,3,110,4812,7,44,40,13,13,5,0,0,132,1775,7583,7487,1323,144,14,26,306,18661,43,169,202,129,22,6,6,19,598,30,57,38,8,0,8,6,16,164,1987,8679,12631,7730,2736,515,185,473,34938
SED10060,5,56,391,1628,2330,1220,210,31,5869,3,31,312,726,200,31,0,10,1308,9,92,542,1490,398,61,10,15,2613,12,121,856,2217,594,90,10,24,3924,59,581,1693,1024,99,20,4,19,3498,181,2099,4644,1309,65,4,11,69,8389,146,1706,2809,959,35,0,3,60,5720,487,2830,3337,1254,53,6,4,73,8037,6,17,44,29,3,0,0,0,94,869,7233,12526,4570,260,35,21,222,25735,0,20,61,33,3,0,0,4,126,3,28,36,3,6,0,6,16,93,897,7452,13873,8451,3192,1340,242,292,35742
SED10061,86,528,3047,11892,7606,1667,450,480,25754,22,325,1076,353,74,21,10,94,1966,0,68,152,65,8,0,0,10,311,22,393,1227,415,82,22,10,104,2275,6,225,312,64,10,4,3,15,645,0,7,35,7,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,6,5,0,3,0,0,17,6,238,356,77,13,7,3,19,719,34,58,40,34,18,7,5,41,235,9,30,26,34,13,9,9,9,138,159,1244,4697,12453,7729,1710,478,655,29118
SED10062,18,108,1209,6114,5965,2549,520,157,16637,37,78,424,853,66,7,0,28,1500,3,113,370,1155,747,169,12,30,2601,38,191,799,2012,812,183,15,64,4109,26,231,447,77,20,4,0,26,829,14,168,1995,559,31,0,3,22,2790,24,265,1879,356,31,0,0,29,2589,0,0,0,0,0,0,0,0,0,3,10,60,22,12,11,3,0,124,62,674,4387,1013,92,20,10,81,6330,0,18,60,29,7,0,0,3,120,0,12,9,4,0,0,0,6,31,116,997,6458,9179,6875,2752,543,305,27217
SED10063,51,323,2457,11607,9473,1888,375,420,26600,10,218,982,396,62,7,4,52,1734,0,96,75,47,4,0,0,9,239,10,315,1062,445,65,11,6,63,1967,14,212,596,99,22,0,6,47,1000,0,8,31,3,0,0,0,5,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,5,0,0,0,25,14,230,637,105,25,3,4,47,1068,23,68,43,72,79,26,8,10,315,7,17,18,33,15,4,3,15,112,101,951,4211,12262,9662,1936,393,548,30070
SED10064,140,759,4101,12536,6869,1254,359,506,26532,14,103,485,309,45,12,4,37,1000,0,57,155,105,12,8,0,14,349,18,165,640,407,54,14,4,46,1347,13,189,630,136,15,3,0,30,1024,0,15,95,46,0,4,0,6,164,0,0,8,15,0,0,0,0,30,0,0,0,0,0,0,0,0,0,3,9,5,8,11,0,0,0,44,17,217,743,202,30,3,3,38,1265,48,132,129,54,21,3,0,29,423,8,31,53,18,11,0,0,10,128,229,1305,5668,13227,6980,1283,369,632,29694
SED10065,39,173,1264,5150,4325,1638,391,162,13141,44,216,216,443,73,16,3,23,1035,39,312,1189,2930,1045,175,23,72,5784,88,528,1404,3370,1114,191,23,97,6815,52,395,2012,392,33,0,4,45,2928,50,340,4216,719,21,4,4,99,5453,56,730,3404,795,13,5,7,68,5075,202,1388,4251,625,18,4,0,105,6594,0,17,37,16,24,9,3,0,108,357,2870,13926,2550,108,20,19,314,20158,6,15,110,32,3,0,4,0,181,3,24,43,6,5,4,0,11,95,486,3611,16754,11117,5545,1856,433,579,40386
SED10066,31,210,1188,10214,7537,1896,458,236,21764,18,155,407,782,44,16,3,24,1451,5,194,782,1871,248,20,6,59,3182,21,351,1188,2650,293,31,9,79,4633,48,241,773,90,14,0,0,35,1210,4,68,838,95,5,0,0,18,1029,17,250,1322,133,0,0,3,22,1750,0,229,549,43,0,0,0,5,831,0,13,27,20,3,4,0,0,76,71,811,3511,389,24,4,0,81,4894,3,22,60,18,0,0,0,0,108,3,9,10,4,0,5,0,5,39,131,1413,5960,13278,7851,1933,474,406,31438
SED10067,54,352,1220,5535,7008,2661,662,134,17616,14,173,337,163,56,21,5,9,782,3,125,604,1152,189,38,11,27,2142,22,292,936,1309,248,64,13,40,2921,53,322,776,526,76,18,7,26,1793,17,386,1518,376,12,3,0,28,2336,14,364,1188,322,6,0,0,11,1907,0,0,0,10,0,0,0,0,13,4,36,43,20,19,3,0,0,132,85,1110,3527,1245,110,25,4,62,6173,9,52,84,35,6,0,0,5,190,6,12,34,16,4,3,0,9,80,168,1821,5803,8145,7371,2750,683,239,26976
SED10068,48,318,2637,10565,8579,1706,323,400,24580,5,174,1665,1139,94,4,4,183,3272,3,58,349,638,104,14,0,17,1183,11,233,2007,1780,195,18,4,201,4457,8,410,855,303,16,4,3,45,1639,0,34,462,91,6,0,0,11,597,14,139,548,246,7,0,0,20,972,0,8,69,52,0,0,0,0,134,3,10,6,3,19,0,0,0,40,19,597,1940,696,49,4,5,80,3384,25,144,167,31,12,0,5,92,471,5,13,29,24,6,3,0,21,94,104,1305,6777,13095,8845,1734,339,789,32990
SED10069,46,301,2311,9539,9216,1782,418,272,23883,0,97,1169,760,63,7,0,49,2153,0,68,304,1146,289,21,6,35,1861,0,168,1470,1902,355,30,6,86,4015,0,101,161,64,13,3,3,12,354,0,21,133,73,3,0,0,5,236,0,14,262,147,13,0,0,3,444,0,0,0,0,0,0,0,0,0,0,6,21,19,10,0,0,0,54,9,142,572,302,40,8,6,20,1091,50,165,166,59,10,0,0,23,473,3,27,28,22,9,0,0,11,102,102,797,4555,11833,9630,1818,431,405,29562
SED10070,24,167,1048,8887,7270,2041,446,245,20126,7,79,731,729,94,15,0,50,1707,8,134,542,1664,392,47,3,45,2822,12,215,1272,2386,487,56,8,89,4531,8,170,462,80,19,4,0,22,770,0,31,548,112,21,0,0,14,727,20,149,598,193,33,0,0,18,1005,0,0,0,0,0,0,0,0,0,0,28,142,80,27,14,3,11,309,29,384,1752,472,100,21,3,56,2811,6,44,14,3,4,0,0,0,69,0,5,15,8,10,0,0,7,44,74,812,4098,11753,7864,2119,456,402,27582
SED10071,23,155,818,5943,17849,4250,627,335,30008,0,51,219,591,293,41,6,8,1200,6,38,314,1522,802,74,17,28,2802,6,88,531,2108,1090,117,25,36,4004,0,4,37,101,5,0,0,0,145,0,0,32,13,0,0,0,0,53,11,266,1332,271,4,0,0,14,1906,0,0,0,0,0,0,0,0,0,3,10,27,9,15,9,0,9,75,17,275,1439,399,21,7,0,25,2181,0,4,0,3,16,6,0,0,32,0,9,10,25,49,10,0,7,105,43,529,2795,8478,19023,4389,654,399,36320
SED10072,23,113,1325,5865,3905,1446,363,180,13216,14,74,1041,1152,90,7,0,18,2409,4,23,232,926,345,41,4,22,1600,15,97,1277,2084,436,50,10,41,4009,41,277,588,109,14,0,0,16,1048,15,261,2177,331,9,0,4,46,2834,29,885,5204,806,26,3,5,125,7081,32,1444,3987,783,38,0,0,81,6374,4,25,44,31,16,6,5,3,133,119,2895,11997,2060,95,16,14,277,17475,5,72,106,50,7,0,4,6,255,7,19,37,11,10,0,0,17,105,180,3196,14739,10070,4450,1516,386,522,35055
SED10073,24,115,1070,5346,4925,2266,625,140,14506,20,106,570,1198,113,32,13,19,2070,4,221,1673,1253,416,67,15,50,3709,23,331,2244,2454,526,97,32,67,5777,20,239,535,173,16,11,0,18,1015,27,943,3772,358,12,22,6,67,5214,37,1739,3889,768,27,0,3,70,6532,24,2207,2067,265,11,0,0,54,4623,0,25,52,15,11,11,6,8,132,106,5156,10318,1578,83,48,17,219,17519,3,31,34,37,0,0,0,6,110,9,24,12,4,0,24,0,3,77,166,5660,13681,9415,5536,2434,668,437,37988
SED10074,27,194,1229,9046,6856,2034,433,186,20013,3,141,513,430,44,5,0,20,1157,3,163,463,1557,523,73,11,45,2827,7,304,974,1986,563,79,11,59,3985,64,183,532,197,4,0,0,34,1012,8,112,862,214,17,0,0,12,1230,8,302,1768,357,7,0,0,47,2484,0,75,608,120,0,0,0,12,819,3,20,99,33,15,6,0,4,175,83,684,3858,923,48,8,3,112,5722,0,8,9,9,6,0,0,0,26,0,13,20,14,0,0,0,0,45,127,1197,6090,11968,7471,2123,447,363,29787
SED10075,33,140,1129,12223,10056,1961,358,285,26175,16,146,973,897,64,6,3,49,2163,0,159,626,1181,170,14,5,36,2190,17,305,1602,2076,242,25,9,89,4355,3,244,686,165,22,0,4,33,1159,0,4,68,45,0,0,0,0,123,0,25,66,9,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,6,31,23,18,6,0,0,95,6,285,851,237,38,9,4,34,1477,7,94,184,19,7,0,0,15,318,0,5,13,16,0,0,0,4,34,63,828,3781,14565,10340,1995,365,423,32360
SED10076,66,416,3164,11836,9089,1636,304,372,26883,4,142,853,552,62,3,8,43,1673,0,58,256,235,21,4,0,13,599,6,203,1113,791,88,13,8,59,2270,15,112,238,133,20,3,4,18,537,0,0,14,14,0,0,0,0,32,0,0,3,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,13,26,18,8,0,3,3,82,15,130,286,171,27,4,8,24,659,15,138,330,86,15,0,0,23,607,3,25,44,12,12,0,0,69,169,104,917,4932,12899,9231,1658,318,541,30594
SED10077,37,150,990,4671,3764,1951,706,139,12408,11,73,590,434,102,17,7,11,1254,12,106,533,1075,599,196,96,29,2654,20,182,1122,1513,705,223,101,41,3906,94,524,1610,311,31,22,5,51,2643,49,529,3650,757,46,4,3,75,5115,92,1226,4683,1088,64,37,0,119,7307,36,859,2809,507,26,3,0,70,4313,0,12,31,10,10,8,3,0,71,271,3153,12779,2668,179,69,17,313,19443,23,46,61,72,8,4,0,0,230,18,45,45,22,5,0,0,25,161,370,3577,15003,8946,4661,2247,824,520,36143
SED10078,38,142,1231,4864,3164,790,225,103,10562,24,99,1120,1159,254,32,5,26,2727,3,51,395,536,209,30,4,7,1238,26,149,1515,1694,458,66,12,42,3964,144,1333,2957,521,68,25,16,81,5141,124,1196,4882,468,34,3,7,60,6773,123,1174,2905,476,15,0,0,40,4731,24,277,456,82,0,0,0,3,844,0,36,51,15,11,0,0,3,124,413,4016,11243,1562,126,26,23,193,17608,41,140,191,85,16,4,4,15,496,3,18,15,8,3,0,9,0,59,516,4470,14195,8222,3770,886,271,355,32688
SED10079,43,409,3752,10913,7878,1743,284,288,25308,4,161,709,490,56,7,4,42,1467,5,44,199,222,36,6,5,6,511,7,204,907,713,92,11,5,47,1988,7,255,619,200,13,4,0,40,1138,3,30,56,25,0,0,0,3,116,0,58,108,70,3,0,0,5,245,0,19,4,0,0,0,0,0,23,0,16,42,21,7,5,0,3,90,10,379,827,317,21,10,6,57,1620,12,70,106,48,6,5,0,12,271,6,15,13,6,4,0,0,6,46,79,1074,5608,11990,8006,1770,293,407,29225
SED10080,9,44,108,258,165,39,17,4,652,4,114,302,232,60,13,5,3,736,93,658,1841,2662,1051,176,54,44,6595,98,776,2148,2896,1105,187,56,53,7324,133,521,461,98,16,0,8,5,1245,480,1278,900,232,21,5,4,28,2947,1435,4295,3540,1118,57,12,10,116,10577,1050,7336,9239,2219,120,19,13,301,20304,0,0,0,0,0,0,0,0,11,3102,13430,14135,3669,212,31,37,457,35081,12,66,71,29,4,0,0,0,190,29,91,40,15,3,6,4,17,213,3248,14420,16502,6869,1492,272,111,536,43451
SED10081,58,334,2472,11923,9449,1780,413,442,26875,16,295,1310,421,34,4,0,46,2130,5,80,230,63,8,3,0,8,396,23,377,1538,487,40,3,0,56,2524,13,138,260,47,8,3,0,16,488,0,0,21,0,0,0,0,0,22,0,0,23,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,3,8,3,0,0,4,0,23,13,145,316,53,10,3,3,16,557,25,68,35,18,9,5,0,5,164,4,35,30,33,12,0,3,19,131,124,955,4386,12507,9521,1790,424,542,30249
SED10082,41,395,2576,7743,9014,2989,631,247,23638,0,98,1011,419,19,3,3,53,1616,0,45,227,576,106,12,4,10,982,5,143,1241,998,121,15,10,65,2596,7,107,522,751,115,15,5,27,1540,0,15,167,146,17,0,0,4,347,7,18,61,47,6,0,0,0,137,0,0,0,0,0,0,0,0,0,4,16,31,21,11,7,4,7,107,9,158,787,959,148,22,10,39,2130,0,15,113,27,3,0,0,4,169,0,8,8,6,6,0,4,0,34,59,718,4726,9738,9294,3025,652,350,28567
SED10083,44,266,1685,9245,7569,1914,470,222,21417,17,283,1482,895,45,7,4,72,2803,8,192,584,1146,129,12,3,44,2116,21,478,2069,2048,171,23,8,119,4921,6,146,466,196,21,0,0,26,856,0,35,274,68,0,0,0,7,393,0,56,473,98,4,0,4,8,646,0,13,118,11,0,0,0,0,146,0,14,41,12,5,0,0,0,70,11,261,1367,391,35,4,6,37,2104,30,60,54,19,4,0,0,9,171,4,17,7,7,0,0,3,3,50,105,1078,5179,11705,7781,1933,486,391,28659
SED10084,66,498,2097,7680,7180,1541,333,294,19694,4,202,1574,2148,101,8,4,75,4128,3,145,894,1535,109,11,3,44,2751,11,348,2470,3680,211,24,5,119,6878,28,244,913,327,22,3,0,43,1586,0,125,1053,323,8,3,0,26,1532,0,67,352,161,9,0,0,14,609,0,46,334,124,5,0,0,14,525,0,31,19,3,6,3,0,0,62,35,516,2670,950,47,9,0,97,4319,45,283,259,22,8,3,0,12,642,7,21,20,11,8,0,3,8,82,162,1670,7522,12348,7456,1575,348,529,31615
SED10085,84,465,2585,11104,9419,1831,465,410,26366,10,185,632,458,62,14,4,33,1389,0,53,199,112,13,7,0,14,401,8,234,838,575,81,17,3,43,1790,0,79,215,66,11,0,0,7,381,0,0,9,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,77,226,72,11,5,3,7,401,23,108,64,32,15,5,3,9,255,6,19,15,24,10,6,4,8,90,121,915,3721,11808,9525,1863,477,478,28908
SED10086,8,43,282,1614,2803,1566,429,77,6820,0,32,445,645,234,48,6,18,1426,0,46,262,931,785,165,20,22,2231,4,72,707,1574,1022,217,23,37,3656,32,643,2094,988,138,38,18,50,3999,189,1680,5851,1912,175,22,7,102,9938,107,1033,3208,1293,85,5,3,69,5805,72,226,707,464,21,3,4,22,1515,0,6,31,29,12,4,0,0,88,399,3594,11896,4680,420,71,32,248,21344,10,71,88,67,4,6,0,7,246,6,25,22,15,5,0,0,10,79,426,3808,12995,7955,4256,1852,493,371,32150
SED10087,38,200,2155,11604,9834,1788,317,352,26284,8,146,871,197,23,3,0,35,1294,0,8,114,94,5,0,0,0,231,12,154,993,296,25,4,0,37,1521,6,301,1567,198,15,6,3,59,2157,0,41,58,16,0,0,0,0,118,0,10,21,16,0,0,0,0,40,0,0,0,0,0,0,0,0,3,0,5,4,8,7,0,0,0,24,11,355,1646,236,22,6,3,58,2348,8,28,29,23,10,3,5,5,120,0,12,14,30,12,0,0,10,87,69,757,4842,12182,9906,1809,330,463,30350
SED10088,86,256,960,5650,6841,2883,747,135,17560,25,118,105,81,34,4,0,3,376,19,304,446,666,144,21,8,27,1641,50,428,551,749,179,21,3,31,2014,83,636,667,173,40,7,5,34,1648,28,763,3196,338,9,6,4,57,4390,60,657,1685,316,8,0,0,36,2759,4,155,225,120,0,0,0,3,507,3,40,100,37,22,9,0,0,216,183,2244,5880,979,79,27,12,131,9525,0,13,35,16,3,0,0,6,69,0,14,14,5,4,0,0,0,48,320,2957,7434,7396,7101,2931,770,304,29211
