LGA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA21370,4,14,0,18,9,0,44,3,33,13,3,14,0,59,33,203,22,70,40,0,377,179,89,21,148,41,3,484,154,43,6,160,19,5,379,334,43,3,150,29,0,562,426,19,10,136,19,0,612,349,9,4,79,6,5,445,99,0,0,23,5,0,125,8,0,0,0,0,0,9,3,0,0,5,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,5,4,0,0,9,0,0,9,35,35,10,72,34,11,188,1629,492,85,875,212,27,3316
LGA21450,12,13,4,13,4,0,48,3,13,5,7,8,0,35,16,92,7,52,16,4,185,32,35,7,89,12,0,175,27,19,8,75,21,0,153,143,19,13,156,47,3,377,1884,27,9,326,31,8,2283,4238,11,0,386,30,4,4671,515,0,3,77,5,0,601,92,0,0,20,0,0,113,38,0,0,0,0,0,40,24,0,0,3,0,0,31,10,0,0,0,0,0,12,39,0,0,9,0,0,49,166,28,3,89,35,16,337,7235,256,63,1307,206,43,9107
LGA21610,16,55,0,17,4,0,101,13,49,8,23,13,0,102,58,441,27,119,28,5,676,59,229,40,154,25,7,513,54,100,25,132,34,3,346,224,110,23,301,84,7,752,3497,161,27,1027,143,19,4887,12179,98,28,1289,271,23,13882,2633,15,5,279,52,6,2989,425,4,4,65,6,0,503,117,0,0,22,10,0,156,62,3,0,15,4,0,85,24,0,0,7,4,0,39,140,0,0,34,8,0,190,469,111,21,304,101,79,1080,19975,1376,218,3792,781,154,26297
LGA21670,0,9,6,7,0,0,22,0,12,7,3,0,0,30,16,67,12,35,0,0,133,50,33,13,59,0,6,164,82,10,4,67,4,0,167,226,14,4,95,5,3,349,170,3,0,37,7,0,218,25,0,0,17,0,0,41,0,0,0,3,3,0,7,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,8,13,4,25,9,5,66,586,163,52,357,35,16,1209
LGA21750,4,8,6,6,8,0,32,0,3,0,9,7,0,18,14,82,11,52,18,4,189,38,38,9,51,26,0,159,65,22,6,76,20,0,187,198,34,12,95,21,6,363,330,3,8,95,8,0,447,247,5,3,52,5,0,314,33,4,0,8,0,0,51,5,0,0,5,0,0,8,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,18,25,3,28,24,6,108,952,224,60,495,142,17,1889
LGA21830,0,4,0,8,16,0,22,4,13,0,8,4,0,26,12,54,4,57,30,5,163,37,19,0,70,15,3,142,50,0,0,80,15,0,153,150,4,0,81,16,0,258,134,0,0,41,6,0,185,33,4,0,20,0,0,52,3,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,6,8,0,41,39,0,102,441,105,7,427,136,12,1132
LGA21890,20,113,14,18,0,4,168,0,127,25,17,4,0,177,37,902,58,92,25,9,1116,131,271,82,168,27,6,684,184,141,47,125,24,0,520,731,134,42,219,44,6,1169,3450,113,39,549,64,11,4225,5965,122,25,726,72,4,6912,2966,19,16,379,21,10,3404,1609,9,6,191,13,3,1826,768,4,4,101,0,0,875,353,4,0,48,0,0,402,173,3,0,17,0,0,191,242,0,0,42,3,0,291,268,174,19,196,46,52,751,16891,2136,367,2877,334,104,22711
LGA22110,0,18,6,23,12,3,59,0,24,3,18,5,0,56,28,159,24,72,39,4,333,100,87,41,144,28,6,404,113,37,25,136,19,6,329,446,55,41,200,19,4,757,669,16,22,239,23,0,969,512,3,0,100,9,4,633,66,5,6,9,0,0,87,6,4,3,5,0,0,15,0,0,0,0,0,0,0,0,0,0,4,0,0,7,3,0,0,0,0,0,0,5,0,0,5,7,0,6,37,39,18,66,28,12,203,1985,442,178,1023,186,40,3863
LGA22170,17,50,9,10,5,0,85,9,54,13,7,0,0,82,37,440,46,83,18,4,625,80,189,63,151,18,8,502,117,91,34,149,46,0,443,621,71,41,274,143,6,1152,2659,115,40,558,102,11,3483,4747,54,17,550,64,16,5455,1583,10,4,170,15,3,1780,354,0,3,29,0,0,392,127,6,0,20,0,0,150,59,0,0,10,0,0,68,23,0,0,0,0,0,26,70,0,0,11,0,0,92,244,74,14,148,27,34,541,10746,1154,273,2179,435,83,14866
LGA22250,0,0,0,10,8,0,18,0,19,0,5,6,0,30,26,28,0,41,12,0,111,100,15,4,76,13,0,209,67,10,0,55,10,0,151,93,5,0,38,3,4,132,39,0,0,15,0,0,58,8,0,0,3,0,0,13,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,13,7,0,18,17,3,53,347,83,6,270,70,10,785
LGA22310,22,25,5,23,3,0,82,15,19,10,9,0,0,52,36,176,53,88,10,4,365,103,57,74,138,12,0,388,118,29,31,116,8,0,309,858,33,32,186,11,5,1121,2213,25,10,386,29,0,2669,4277,21,3,531,33,6,4876,3418,3,4,426,22,6,3885,1781,0,3,236,3,3,2034,1103,0,0,134,10,3,1255,722,4,3,131,6,0,868,475,0,0,52,4,0,529,507,4,0,86,7,0,602,248,36,19,200,23,37,565,15886,432,255,2750,183,84,19594
LGA22410,0,13,0,10,9,0,33,0,12,3,6,0,0,23,25,94,11,59,14,0,204,97,51,10,112,15,7,292,90,32,0,73,14,0,215,155,12,3,84,14,0,259,181,6,0,66,0,0,258,137,4,0,33,9,0,180,22,0,0,6,0,0,26,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,0,18,27,4,81,724,241,32,472,99,15,1582
LGA22490,0,0,0,4,3,0,9,0,0,0,3,0,0,9,4,0,0,14,4,0,25,5,0,0,24,3,0,34,6,0,4,26,8,0,35,16,0,0,26,6,0,45,76,0,0,44,8,0,127,121,0,0,41,4,0,166,65,0,0,10,0,0,70,10,0,0,0,0,0,13,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,19,27,0,53,316,0,7,215,52,0,593
LGA22620,10,70,12,14,7,0,111,3,79,12,13,7,0,106,52,517,43,155,19,9,794,287,231,87,287,25,10,932,327,105,45,315,21,7,828,1401,172,71,490,37,11,2185,2961,79,58,664,35,7,3809,2292,10,11,318,25,0,2666,447,4,0,76,7,0,537,64,3,0,18,7,0,88,18,5,0,9,0,0,30,3,0,0,0,0,0,5,0,0,0,3,0,0,3,9,0,0,6,0,0,15,104,82,21,138,38,20,403,7978,1365,364,2508,232,66,12514
LGA22670,27,60,11,15,4,0,123,14,108,13,17,11,0,160,84,587,34,124,39,9,883,128,244,71,192,105,6,748,162,132,24,106,42,3,478,1098,150,44,277,89,10,1676,3704,111,33,779,240,17,4888,4947,122,29,754,279,17,6144,1169,15,6,186,58,5,1433,307,7,4,45,24,3,387,73,0,0,19,3,0,105,45,0,3,10,4,0,62,12,0,0,3,0,0,20,126,0,0,26,10,0,159,287,143,14,242,82,52,822,12187,1682,283,2810,978,131,18071
LGA22750,25,154,9,39,4,4,236,16,143,21,19,19,0,223,112,1010,77,206,32,11,1451,348,409,246,371,84,18,1482,549,171,76,358,64,11,1233,1696,252,105,590,79,19,2749,5124,168,110,1163,109,25,6685,8237,74,65,1012,107,25,9527,2864,13,11,292,35,0,3214,618,6,0,92,7,0,726,234,0,0,52,3,0,296,82,0,0,26,0,0,107,40,0,0,7,6,0,49,73,0,0,14,5,0,101,311,172,35,243,104,57,913,20334,2577,774,4480,660,169,28994
LGA22830,8,33,0,13,4,0,61,4,40,0,14,11,0,71,50,265,28,135,51,4,536,277,178,68,180,49,9,756,322,123,39,192,51,5,728,914,83,33,309,64,4,1408,1245,42,40,295,74,19,1711,803,12,4,170,44,12,1043,164,0,0,42,16,0,225,15,0,0,3,7,0,31,7,0,0,5,0,0,12,6,0,0,0,5,0,8,5,0,0,4,0,0,3,4,0,0,7,0,0,12,73,59,8,78,41,29,291,3896,843,224,1441,412,84,6899
LGA22910,0,4,0,0,0,0,5,0,4,3,5,0,0,15,9,43,13,25,9,0,103,7,19,7,35,4,0,70,23,6,0,55,6,0,89,52,5,5,52,0,0,111,144,6,0,96,4,0,253,137,0,0,56,6,0,205,49,0,0,12,0,0,58,5,0,0,0,0,0,13,0,0,0,3,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,9,0,0,9,4,7,0,26,7,0,53,441,88,34,389,42,6,1004
LGA22980,0,10,0,8,5,0,20,4,0,0,10,6,0,20,19,7,0,27,6,0,60,61,4,9,36,8,0,111,46,0,0,22,6,0,69,42,0,0,14,0,0,56,12,0,0,3,0,0,14,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,13,8,4,25,193,23,10,136,35,4,393
LGA23110,15,31,0,15,0,0,55,7,55,4,7,0,0,67,18,276,18,48,10,0,356,36,122,55,84,3,0,297,63,76,37,57,5,0,240,257,48,28,112,11,5,470,1711,42,19,336,47,5,2153,2526,33,14,322,57,3,2948,1390,13,3,134,6,0,1548,729,5,0,61,5,0,798,385,5,0,39,0,0,424,160,0,0,16,0,0,174,75,0,0,6,0,0,82,101,0,0,17,4,0,121,136,77,11,125,33,35,417,7592,781,193,1358,184,59,10164
LGA23190,0,24,0,7,3,0,29,4,27,0,6,0,0,31,32,122,4,40,3,0,200,162,44,10,76,7,0,290,180,29,3,49,11,0,275,299,14,0,61,3,3,382,334,5,10,57,6,6,421,196,9,5,34,10,0,247,33,0,0,6,0,0,45,5,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,34,25,3,24,11,6,103,1284,288,36,368,52,14,2036
LGA23270,19,55,8,17,3,0,103,7,70,0,20,7,0,101,41,443,13,83,25,0,606,48,270,50,116,32,0,513,39,123,26,112,19,0,316,205,146,41,214,94,7,698,2790,154,54,924,236,21,4178,7947,153,32,1032,340,29,9542,1343,17,0,189,59,8,1614,191,7,0,38,9,0,240,58,0,0,19,4,0,86,46,3,0,10,0,0,57,21,0,0,6,3,0,32,109,0,0,18,5,0,133,313,121,20,242,73,72,844,13189,1561,241,3027,909,140,19067
LGA23350,0,8,0,9,0,0,15,0,6,0,5,0,0,14,3,43,6,33,0,0,86,41,15,9,39,8,5,113,29,11,0,50,9,0,95,93,0,3,51,6,0,151,174,3,0,71,3,0,253,127,5,0,42,4,0,177,27,0,0,12,0,0,38,5,0,0,0,0,0,9,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,11,0,0,21,12,0,46,517,80,24,335,37,6,1001
LGA23430,15,41,9,8,5,0,78,10,48,5,14,3,0,85,21,397,43,79,15,4,561,56,134,74,128,28,3,425,60,66,28,112,5,0,271,315,55,28,174,35,4,615,1676,47,18,364,61,3,2176,4215,55,25,515,34,10,4851,2763,15,6,297,20,4,3101,1245,5,0,117,0,0,1370,591,0,0,41,6,0,629,255,0,0,21,0,0,279,94,0,0,6,0,0,103,133,0,0,26,5,0,166,227,78,21,170,45,34,583,11669,949,257,2076,266,72,15286
LGA23670,10,34,13,22,0,3,80,8,45,8,9,6,0,72,20,330,23,59,19,3,450,43,152,30,87,4,0,315,34,57,27,91,0,0,212,132,67,45,112,15,3,382,912,77,56,380,19,0,1448,4498,84,17,576,26,5,5215,2487,7,6,186,11,3,2703,535,0,0,56,3,0,597,135,0,0,20,0,0,153,38,0,0,13,3,0,51,24,0,0,0,0,0,27,59,0,0,9,0,0,76,176,67,11,117,21,24,426,9103,925,249,1743,139,54,12210
LGA23810,13,78,10,22,7,3,131,8,89,21,19,5,0,140,162,480,35,115,15,9,825,652,215,61,250,26,9,1208,654,108,30,278,23,13,1116,1102,101,48,303,38,5,1598,1178,20,26,223,25,3,1486,637,11,9,114,16,5,783,146,3,5,25,6,0,181,14,0,0,0,0,0,17,5,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,4,0,0,8,11,0,0,0,0,0,14,76,79,20,80,25,14,291,4662,1185,253,1427,192,71,7784
LGA23940,0,0,0,8,6,0,14,0,11,4,6,0,0,26,11,16,0,45,16,0,88,16,0,0,47,10,0,79,6,0,0,29,7,0,48,13,0,0,21,0,0,41,11,0,0,13,0,0,27,8,0,0,8,0,0,12,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13,0,35,73,32,11,186,60,4,365
LGA24130,0,6,0,3,3,0,23,0,13,0,5,3,0,24,4,48,14,24,10,0,104,10,23,29,46,9,0,119,5,12,12,39,6,0,73,50,11,16,57,8,0,146,182,15,6,145,8,0,361,564,8,4,154,11,0,742,358,0,0,84,0,0,449,167,0,0,15,0,0,177,47,0,0,11,0,0,58,18,0,0,3,0,0,17,5,0,0,0,0,0,5,11,0,0,9,0,0,14,34,11,6,41,15,3,120,1456,165,88,643,73,6,2432
LGA24210,3,10,0,6,0,0,22,4,9,5,5,0,0,12,10,57,14,22,3,0,109,27,17,20,72,4,3,136,9,14,6,55,4,0,91,38,7,8,88,6,0,151,310,14,19,175,3,5,525,2270,17,14,334,32,4,2668,2122,0,3,260,23,8,2417,1196,3,0,105,8,0,1318,591,0,0,38,4,0,631,253,0,0,23,0,0,277,111,0,0,11,0,0,116,142,0,0,28,6,0,172,181,20,6,177,25,13,411,7255,165,90,1391,126,30,9064
LGA24250,0,3,0,0,5,0,9,0,0,0,3,0,0,8,4,26,3,6,9,0,49,9,8,0,27,3,0,41,8,5,0,24,0,0,35,31,0,0,33,4,0,63,92,0,0,30,0,0,126,140,0,0,41,0,0,185,36,0,0,9,0,0,44,3,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3,0,7,10,0,32,331,51,3,188,33,4,605
LGA24330,5,93,9,9,0,0,120,10,114,9,20,6,0,151,39,592,39,88,17,4,781,96,247,66,119,8,0,534,176,110,36,73,13,0,417,633,100,40,173,30,10,977,2063,81,38,391,48,4,2628,3528,54,20,391,50,0,4045,2260,16,8,265,17,0,2562,947,0,0,113,8,0,1063,376,9,0,35,5,0,420,128,4,0,8,4,0,141,36,0,0,8,0,0,45,85,0,0,13,0,0,112,127,112,18,124,26,37,450,10506,1530,280,1829,228,68,14440
LGA24410,10,28,3,9,0,0,52,4,36,5,8,4,0,56,15,291,21,48,7,3,384,23,125,92,72,8,5,327,14,52,28,81,4,0,186,98,56,40,107,5,0,308,1279,53,36,358,20,3,1747,3837,42,12,476,34,5,4403,1617,11,0,165,13,0,1808,452,5,0,24,0,0,484,141,6,0,15,0,0,157,44,0,0,6,0,0,53,26,0,0,0,0,0,21,44,0,0,12,0,0,59,142,75,18,118,19,15,388,7748,786,258,1496,117,35,10437
LGA24600,45,58,3,29,10,0,146,8,175,8,18,0,0,215,100,699,36,120,14,12,980,374,279,124,227,38,3,1048,523,147,85,223,29,9,1016,1648,166,83,410,51,6,2367,8062,167,80,749,97,6,9160,14167,93,60,1027,126,21,15496,7371,26,21,740,55,7,8223,2970,12,4,348,22,4,3363,1539,9,3,177,21,0,1740,828,4,5,119,3,0,955,471,0,0,74,3,0,551,924,0,0,146,18,0,1093,560,141,28,386,71,48,1230,39601,1978,533,4784,563,116,47582
LGA24650,15,16,4,9,9,0,48,6,17,0,8,6,0,40,21,107,5,41,8,6,187,45,66,34,79,42,5,263,35,23,18,82,27,0,189,352,45,17,164,23,5,602,2966,24,30,542,61,15,3643,4858,15,22,520,100,16,5531,993,0,0,119,22,5,1143,139,0,0,27,3,0,161,37,0,0,7,7,0,50,20,0,0,6,3,0,30,14,0,0,0,0,0,10,51,0,0,11,0,0,59,215,24,13,143,38,23,464,9760,343,147,1764,332,78,12424
LGA24780,4,26,13,21,26,8,102,8,46,11,14,10,4,89,59,258,40,121,67,13,567,243,152,31,214,53,14,712,316,64,10,222,27,6,640,692,61,24,270,47,5,1102,1226,33,20,294,61,11,1634,752,7,10,154,30,4,958,126,3,0,37,11,0,179,20,0,0,16,0,0,37,8,0,0,9,0,0,18,4,0,0,5,0,0,15,0,0,0,3,0,0,7,0,0,0,12,4,0,18,62,45,6,76,46,32,264,3526,698,176,1470,381,96,6347
LGA24850,0,17,0,5,5,0,29,0,17,0,3,0,0,29,8,110,13,36,14,7,187,43,43,3,44,7,3,149,60,19,4,75,7,0,167,195,36,6,104,131,3,483,676,25,3,148,71,0,927,1052,5,5,116,33,3,1208,112,0,0,25,9,0,143,26,0,0,5,7,0,34,9,0,0,0,0,0,11,7,0,0,0,0,0,6,0,0,0,0,0,0,3,9,0,0,0,0,0,13,45,26,6,46,28,5,155,2251,303,43,626,310,20,3550
LGA24900,9,10,3,7,3,0,28,0,11,0,9,0,0,16,60,114,12,58,38,0,285,159,62,20,100,26,3,370,124,23,5,118,12,0,281,333,12,4,119,19,0,482,327,3,0,127,21,3,479,251,0,0,57,5,0,316,31,0,0,10,0,0,39,4,0,0,0,0,0,8,3,0,0,4,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,5,0,0,6,27,13,4,41,24,10,132,1330,254,44,660,160,21,2467
LGA24970,10,54,9,22,3,0,95,14,47,5,11,5,0,76,67,420,39,116,19,5,660,115,150,56,223,35,5,585,73,99,56,122,19,0,374,146,94,54,180,18,0,487,1149,58,38,347,34,5,1638,5364,64,27,689,63,8,6218,4393,28,10,518,60,8,5014,2254,0,11,208,21,0,2493,916,0,5,92,11,0,1032,356,0,0,43,8,0,408,96,0,0,17,4,0,121,174,0,0,43,4,0,233,292,73,22,278,61,49,776,15420,1081,341,2913,357,89,20201
LGA25060,17,88,4,17,0,0,126,12,133,7,9,0,0,155,26,627,32,59,7,3,756,71,255,42,95,9,8,469,84,142,34,73,8,4,338,476,134,25,160,13,0,803,2121,137,28,352,25,7,2672,4144,69,18,469,36,9,4735,2273,13,0,247,15,3,2558,1071,3,0,94,7,0,1174,496,3,0,36,3,0,542,241,0,0,28,0,0,273,103,0,0,17,0,0,126,141,0,0,13,0,0,164,200,107,17,140,33,28,526,11472,1713,212,1802,146,58,15408
LGA25150,0,7,0,3,3,0,20,0,14,0,3,0,0,20,12,83,7,21,9,0,139,16,44,20,23,7,5,116,29,18,5,44,3,0,95,124,12,21,78,10,0,244,403,24,8,142,23,5,595,695,3,0,113,6,0,819,78,0,0,19,0,0,97,14,0,0,4,0,0,20,6,0,0,5,0,0,9,4,0,0,0,0,0,0,0,0,0,6,0,0,6,5,0,0,5,0,0,4,36,12,0,47,13,7,122,1418,220,73,507,80,21,2320
LGA25250,11,65,13,8,0,0,103,14,96,8,20,0,0,140,42,584,34,112,15,5,793,137,185,49,163,21,3,561,159,79,28,154,5,3,434,641,95,27,249,46,0,1060,3200,77,29,654,78,15,4043,7934,49,10,927,86,3,9012,4134,11,3,555,30,4,4730,1935,0,3,258,5,6,2214,960,0,0,112,7,0,1079,426,0,0,83,3,0,510,194,3,0,36,0,0,235,261,0,0,41,4,0,303,310,120,15,220,59,50,766,20348,1361,217,3588,371,90,25980
LGA25340,15,29,5,25,17,0,85,4,45,0,14,7,0,69,26,358,14,75,26,12,514,50,130,17,118,43,3,358,49,53,16,124,32,0,273,280,68,16,261,157,3,792,1559,60,19,506,91,15,2248,3082,30,9,557,36,3,3717,1601,5,4,250,14,6,1884,657,0,0,82,8,6,750,345,0,0,46,0,0,387,139,3,0,26,0,0,166,100,0,0,16,0,0,112,163,0,0,24,9,6,201,152,74,12,174,58,22,494,8216,858,108,2299,485,81,12048
LGA25430,0,11,0,4,4,0,18,0,11,4,0,0,0,18,6,77,3,29,0,0,114,7,12,13,53,5,0,90,18,3,9,39,4,0,67,66,8,3,55,5,0,138,233,8,3,113,0,4,362,195,3,6,78,4,0,285,53,0,0,30,0,0,79,17,0,0,4,0,0,16,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,15,0,21,8,0,56,606,146,36,432,29,6,1259
LGA25490,0,0,0,17,14,0,32,0,3,0,14,0,0,17,10,21,10,55,16,0,111,18,10,3,66,13,0,115,32,0,0,68,19,0,114,72,4,0,55,13,0,144,102,0,0,59,9,0,175,120,0,0,34,9,0,157,20,0,0,13,0,0,30,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,0,33,42,4,84,394,47,10,409,130,5,999
LGA25620,0,3,0,9,6,0,20,0,0,0,0,3,0,8,4,19,0,23,13,0,60,28,3,3,35,3,0,70,32,3,0,44,10,0,87,89,0,0,51,10,0,147,130,3,0,60,4,0,204,98,0,0,28,4,0,134,14,0,0,0,0,0,16,4,0,0,4,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,6,5,3,7,14,0,44,413,45,13,270,65,11,808
LGA25710,0,6,0,3,0,0,14,0,8,0,3,0,0,9,7,41,0,16,4,0,73,5,8,8,27,5,0,57,7,10,0,24,0,0,43,18,3,0,33,5,0,61,94,5,0,76,6,0,181,379,9,0,104,8,0,500,347,0,0,68,4,0,421,220,0,0,36,0,0,260,90,0,0,10,0,0,101,29,0,0,7,0,0,41,8,0,0,5,0,0,16,19,0,0,3,0,0,17,18,11,0,33,7,3,77,1237,100,14,458,37,7,1858
LGA25810,0,6,0,10,4,0,20,5,11,3,6,0,0,22,25,47,17,36,6,0,133,113,27,20,63,18,0,239,70,9,0,46,12,0,136,136,10,3,44,5,0,198,80,0,3,28,12,0,123,29,0,0,7,0,0,40,4,0,0,0,0,0,9,3,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,6,12,6,24,9,3,62,471,115,45,265,79,6,984
LGA25900,27,66,11,8,6,0,108,9,123,14,11,0,0,153,49,851,54,74,0,3,1032,85,222,142,108,8,7,567,134,142,162,101,6,0,544,734,112,104,184,12,3,1151,3090,81,48,410,23,6,3656,5693,48,26,601,21,6,6397,4014,16,8,471,20,8,4532,2125,3,0,270,6,3,2417,1248,3,0,148,3,4,1400,755,4,0,81,0,0,843,490,0,0,62,4,0,554,856,0,0,116,4,3,978,311,161,24,184,27,35,736,19614,1811,590,2831,141,76,25066
LGA25990,0,0,0,10,5,0,12,0,0,0,3,0,0,9,0,12,0,30,8,0,54,14,4,0,38,3,3,59,17,0,0,34,3,0,49,35,0,0,22,5,0,56,26,0,0,25,3,0,53,8,0,0,6,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,8,6,22,111,18,0,183,40,3,349
LGA26080,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,3,0,7,0,0,13,0,0,0,3,0,0,6,3,0,0,5,0,0,10,27,0,0,15,0,0,44,52,0,0,18,0,0,73,21,0,0,8,0,0,28,3,0,0,0,0,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,0,0,4,6,0,9,117,9,0,68,3,0,207
